""	"probe_id"	"symbol"
"90969"	"1053_at"	"RFC2"
"90970"	"117_at"	"HSPA6"
"90971"	"121_at"	"PAX8"
"90972"	"1255_g_at"	"GUCA1A"
"90973"	"1316_at"	"THRA"
"90974"	"1320_at"	"PTPN21"
"90975"	"1405_i_at"	"CCL5"
"90976"	"1431_at"	"CYP2E1"
"90977"	"1438_at"	"EPHB3"
"90978"	"1487_at"	"ESRRA"
"90979"	"1494_f_at"	"CYP2A6"
"90980"	"1598_g_at"	"GAS6"
"90981"	"160020_at"	"MMP14"
"90982"	"1729_at"	"TRADD"
"90983"	"177_at"	"PLD1"
"90984"	"179_at"	"DTX2P1-UPK3BP1-PMS2P11"
"90985"	"1861_at"	"BAD"
"90986"	"200000_s_at"	"PRPF8"
"90987"	"200001_at"	"CAPNS1"
"90988"	"200002_at"	"RPL35"
"90989"	"200004_at"	"EIF4G2"
"90990"	"200005_at"	"EIF3D"
"90991"	"200006_at"	"PARK7"
"90992"	"200007_at"	"SRP14"
"90993"	"200008_s_at"	"GDI2"
"90994"	"200009_at"	"GDI2"
"90995"	"200010_at"	"RPL11"
"90996"	"200011_s_at"	"ARF3"
"90997"	"200013_at"	"RPL24"
"90998"	"200014_s_at"	"HNRNPC"
"90999"	"200015_s_at"	"SEPT2"
"91000"	"200017_at"	"RPS27A"
"91001"	"200019_s_at"	"FAU"
"91002"	"200020_at"	"TARDBP"
"91003"	"200021_at"	"CFL1"
"91004"	"200022_at"	"RPL18"
"91005"	"200023_s_at"	"EIF3F"
"91006"	"200024_at"	"RPS5"
"91007"	"200025_s_at"	"RPL27"
"91008"	"200026_at"	"RPL34"
"91009"	"200027_at"	"NARS"
"91010"	"200028_s_at"	"STARD7"
"91011"	"200029_at"	"RPL19"
"91012"	"200030_s_at"	"SLC25A3"
"91013"	"200032_s_at"	"RPL9"
"91014"	"200034_s_at"	"RPL6"
"91015"	"200035_at"	"CTDNEP1"
"91016"	"200036_s_at"	"RPL10A"
"91017"	"200037_s_at"	"CBX3"
"91018"	"200039_s_at"	"PSMB2"
"91019"	"200040_at"	"KHDRBS1"
"91020"	"200042_at"	"RTCB"
"91021"	"200043_at"	"ERH"
"91022"	"200045_at"	"ABCF1"
"91023"	"200046_at"	"DAD1"
"91024"	"200047_s_at"	"YY1"
"91025"	"200048_s_at"	"JTB"
"91026"	"200049_at"	"KAT7"
"91027"	"200050_at"	"ZNF146"
"91028"	"200051_at"	"SART1"
"91029"	"200052_s_at"	"ILF2"
"91030"	"200053_at"	"SPAG7"
"91031"	"200054_at"	"ZPR1"
"91032"	"200055_at"	"TAF10"
"91033"	"200056_s_at"	"C1D"
"91034"	"200057_s_at"	"NONO"
"91035"	"200059_s_at"	"RHOA"
"91036"	"200060_s_at"	"RNPS1"
"91037"	"200061_s_at"	"RPS24"
"91038"	"200062_s_at"	"RPL30"
"91039"	"200063_s_at"	"NPM1"
"91040"	"200064_at"	"HSP90AB1"
"91041"	"200066_at"	"IK"
"91042"	"200067_x_at"	"SNX3"
"91043"	"200068_s_at"	"CANX"
"91044"	"200069_at"	"SART3"
"91045"	"200070_at"	"CNPPD1"
"91046"	"200071_at"	"SMNDC1"
"91047"	"200072_s_at"	"HNRNPM"
"91048"	"200073_s_at"	"HNRNPD"
"91049"	"200074_s_at"	"RPL14"
"91050"	"200075_s_at"	"GUK1"
"91051"	"200076_s_at"	"KXD1"
"91052"	"200077_s_at"	"OAZ1"
"91053"	"200078_s_at"	"ATP6V0B"
"91054"	"200079_s_at"	"KARS"
"91055"	"200081_s_at"	"RPS6"
"91056"	"200082_s_at"	"RPS7"
"91057"	"200083_at"	"USP22"
"91058"	"200084_at"	"C11orf58"
"91059"	"200085_s_at"	"ELOB"
"91060"	"200086_s_at"	"COX4I1"
"91061"	"200087_s_at"	"TMED2"
"91062"	"200090_at"	"FNTA"
"91063"	"200091_s_at"	"RPS25"
"91064"	"200092_s_at"	"RPL37"
"91065"	"200093_s_at"	"HINT1"
"91066"	"200094_s_at"	"EEF2"
"91067"	"200095_x_at"	"RPS10"
"91068"	"200096_s_at"	"ATP6V0E1"
"91069"	"200097_s_at"	"HNRNPK"
"91070"	"200098_s_at"	"ANAPC5"
"91071"	"200593_s_at"	"HNRNPU"
"91072"	"200594_x_at"	"HNRNPU"
"91073"	"200595_s_at"	"EIF3A"
"91074"	"200596_s_at"	"EIF3A"
"91075"	"200597_at"	"EIF3A"
"91076"	"200600_at"	"MSN"
"91077"	"200601_at"	"ACTN4"
"91078"	"200602_at"	"APP"
"91079"	"200603_at"	"PRKAR1A"
"91080"	"200604_s_at"	"PRKAR1A"
"91081"	"200605_s_at"	"PRKAR1A"
"91082"	"200606_at"	"DSP"
"91083"	"200607_s_at"	"RAD21"
"91084"	"200608_s_at"	"RAD21"
"91085"	"200609_s_at"	"WDR1"
"91086"	"200610_s_at"	"NCL"
"91087"	"200611_s_at"	"WDR1"
"91088"	"200612_s_at"	"AP2B1"
"91089"	"200613_at"	"AP2M1"
"91090"	"200614_at"	"CLTC"
"91091"	"200615_s_at"	"AP2B1"
"91092"	"200616_s_at"	"MLEC"
"91093"	"200617_at"	"MLEC"
"91094"	"200618_at"	"LASP1"
"91095"	"200619_at"	"SF3B2"
"91096"	"200620_at"	"TMEM59"
"91097"	"200621_at"	"CSRP1"
"91098"	"200625_s_at"	"CAP1"
"91099"	"200627_at"	"PTGES3"
"91100"	"200628_s_at"	"WARS"
"91101"	"200629_at"	"WARS"
"91102"	"200632_s_at"	"NDRG1"
"91103"	"200633_at"	"UBB"
"91104"	"200634_at"	"PFN1"
"91105"	"200635_s_at"	"PTPRF"
"91106"	"200636_s_at"	"PTPRF"
"91107"	"200637_s_at"	"PTPRF"
"91108"	"200638_s_at"	"YWHAZ"
"91109"	"200639_s_at"	"YWHAZ"
"91110"	"200640_at"	"YWHAZ"
"91111"	"200641_s_at"	"YWHAZ"
"91112"	"200642_at"	"SOD1"
"91113"	"200643_at"	"HDLBP"
"91114"	"200644_at"	"MARCKSL1"
"91115"	"200645_at"	"GABARAP"
"91116"	"200646_s_at"	"NUCB1"
"91117"	"200648_s_at"	"GLUL"
"91118"	"200649_at"	"NUCB1"
"91119"	"200650_s_at"	"LDHA"
"91120"	"200652_at"	"SSR2"
"91121"	"200654_at"	"P4HB"
"91122"	"200656_s_at"	"P4HB"
"91123"	"200657_at"	"SLC25A5"
"91124"	"200658_s_at"	"PHB"
"91125"	"200659_s_at"	"PHB"
"91126"	"200660_at"	"S100A11"
"91127"	"200661_at"	"CTSA"
"91128"	"200662_s_at"	"TOMM20"
"91129"	"200663_at"	"CD63"
"91130"	"200664_s_at"	"DNAJB1"
"91131"	"200665_s_at"	"SPARC"
"91132"	"200666_s_at"	"DNAJB1"
"91133"	"200667_at"	"UBE2D3"
"91134"	"200668_s_at"	"UBE2D3"
"91135"	"200669_s_at"	"UBE2D3"
"91136"	"200670_at"	"XBP1"
"91137"	"200671_s_at"	"SPTBN1"
"91138"	"200672_x_at"	"SPTBN1"
"91139"	"200673_at"	"LAPTM4A"
"91140"	"200674_s_at"	"RPL32"
"91141"	"200675_at"	"CD81"
"91142"	"200676_s_at"	"UBE2L3"
"91143"	"200677_at"	"PTTG1IP"
"91144"	"200678_x_at"	"GRN"
"91145"	"200679_x_at"	"HMGB1"
"91146"	"200680_x_at"	"HMGB1"
"91147"	"200681_at"	"GLO1"
"91148"	"200682_s_at"	"UBE2L3"
"91149"	"200683_s_at"	"UBE2L3"
"91150"	"200684_s_at"	"UBE2L3"
"91151"	"200685_at"	"SRSF11"
"91152"	"200686_s_at"	"SRSF11"
"91153"	"200687_s_at"	"SF3B3"
"91154"	"200688_at"	"SF3B3"
"91155"	"200690_at"	"HSPA9"
"91156"	"200691_s_at"	"HSPA9"
"91157"	"200692_s_at"	"HSPA9"
"91158"	"200693_at"	"YWHAQ"
"91159"	"200694_s_at"	"DDX24"
"91160"	"200695_at"	"PPP2R1A"
"91161"	"200696_s_at"	"GSN"
"91162"	"200697_at"	"HK1"
"91163"	"200698_at"	"KDELR2"
"91164"	"200699_at"	"KDELR2"
"91165"	"200700_s_at"	"KDELR2"
"91166"	"200701_at"	"NPC2"
"91167"	"200702_s_at"	"DDX24"
"91168"	"200703_at"	"DYNLL1"
"91169"	"200704_at"	"LITAF"
"91170"	"200706_s_at"	"LITAF"
"91171"	"200707_at"	"PRKCSH"
"91172"	"200708_at"	"GOT2"
"91173"	"200709_at"	"FKBP1A"
"91174"	"200710_at"	"ACADVL"
"91175"	"200711_s_at"	"SKP1"
"91176"	"200712_s_at"	"MAPRE1"
"91177"	"200713_s_at"	"MAPRE1"
"91178"	"200714_x_at"	"OS9"
"91179"	"200717_x_at"	"RPL7"
"91180"	"200718_s_at"	"SKP1"
"91181"	"200719_at"	"SKP1"
"91182"	"200720_s_at"	"ACTR1A"
"91183"	"200721_s_at"	"ACTR1A"
"91184"	"200722_s_at"	"CAPRIN1"
"91185"	"200723_s_at"	"CAPRIN1"
"91186"	"200726_at"	"PPP1CC"
"91187"	"200727_s_at"	"ACTR2"
"91188"	"200728_at"	"ACTR2"
"91189"	"200729_s_at"	"ACTR2"
"91190"	"200730_s_at"	"PTP4A1"
"91191"	"200731_s_at"	"PTP4A1"
"91192"	"200732_s_at"	"PTP4A1"
"91193"	"200733_s_at"	"PTP4A1"
"91194"	"200734_s_at"	"ARF3"
"91195"	"200735_x_at"	"NACA"
"91196"	"200736_s_at"	"GPX1"
"91197"	"200737_at"	"PGK1"
"91198"	"200738_s_at"	"PGK1"
"91199"	"200739_s_at"	"SUMO3"
"91200"	"200740_s_at"	"SUMO3"
"91201"	"200741_s_at"	"RPS27"
"91202"	"200742_s_at"	"TPP1"
"91203"	"200743_s_at"	"TPP1"
"91204"	"200744_s_at"	"GNB1"
"91205"	"200745_s_at"	"GNB1"
"91206"	"200746_s_at"	"GNB1"
"91207"	"200747_s_at"	"NUMA1"
"91208"	"200748_s_at"	"FTH1"
"91209"	"200749_at"	"RAN"
"91210"	"200750_s_at"	"RAN"
"91211"	"200751_s_at"	"HNRNPC"
"91212"	"200752_s_at"	"CAPN1"
