""	"probe_id"	"symbol"
"1"	"assay0001"	"MRPL20-AS1"
"2"	"assay0002"	"MRPL20-AS1"
"3"	"assay0005"	"GNB1"
"4"	"assay0006"	"FAAP20"
"5"	"assay0007"	"TNFRSF14-AS1"
"6"	"assay0007"	"TNFRSF14"
"7"	"assay0008"	"LINC01134"
"8"	"assay0009"	"KLHL21"
"9"	"assay0010"	"PIK3CD-AS2"
"10"	"assay0010"	"PIK3CD"
"11"	"assay0011"	"TMEM51-AS1"
"12"	"assay0011"	"KAZN"
"13"	"assay0012"	"AL121992.1"
"14"	"assay0014"	"CROCCP2"
"15"	"assay0015"	"ARHGEF10L"
"16"	"assay0016"	"TMCO4"
"17"	"assay0017"	"E2F2"
"18"	"assay0018"	"MDS2"
"19"	"assay0019"	"LINC02800"
"20"	"assay0020"	"PHACTR4"
"21"	"assay0021"	"RCC1"
"22"	"assay0021"	"SNHG3"
"23"	"assay0022"	"RCC1"
"24"	"assay0022"	"SNHG3"
"25"	"assay0023"	"SNHG12"
"26"	"assay0024"	"BMP8A"
"27"	"assay0024"	"PPIEL"
"28"	"assay0026"	"SLFNL1"
"29"	"assay0026"	"SLFNL1-AS1"
"30"	"assay0027"	"SLC2A1-AS1"
"31"	"assay0028"	"AL139220.2"
"32"	"assay0029"	"RNF220"
"33"	"assay0030"	"LINC01144"
"34"	"assay0030"	"ZSWIM5"
"35"	"assay0031"	"IPP"
"36"	"assay0032"	"MAST2"
"37"	"assay0033"	"MKNK1-AS1"
"38"	"assay0033"	"MKNK1"
"39"	"assay0034"	"LINC01562"
"40"	"assay0036"	"TMEM59"
"41"	"assay0037"	"PARS2"
"42"	"assay0039"	"LINC01358"
"43"	"assay0039"	"AC093425.1"
"44"	"assay0040"	"NFIA"
"45"	"assay0041"	"RAVER2"
"46"	"assay0042"	"LINC01359"
"47"	"assay0042"	"JAK1"
"48"	"assay0044"	"GNG12-AS1"
"49"	"assay0045"	"LINC01788"
"50"	"assay0047"	"NEXN-AS1"
"51"	"assay0048"	"IFI44"
"52"	"assay0049"	"LINC01725"
"53"	"assay0050"	"AL078459.1"
"54"	"assay0051"	"ZNHIT6"
"55"	"assay0052"	"PKN2-AS1"
"56"	"assay0053"	"LINC02609"
"57"	"assay0054"	"BCAR3"
"58"	"assay0055"	"MIR137HG"
"59"	"assay0055"	"DPYD"
"60"	"assay0056"	"LINC01776"
"61"	"assay0057"	"RTCA"
"62"	"assay0058"	"AC093157.1"
"63"	"assay0059"	"PSMA5"
"64"	"assay0060"	"AL355488.1"
"65"	"assay0060"	"SLC16A4"
"66"	"assay0060"	"LAMTOR5-AS1"
"67"	"assay0061"	"LINC01750"
"68"	"assay0062"	"SLC16A1-AS1"
"69"	"assay0063"	"HIPK1-AS1"
"70"	"assay0065"	"GAPDHP32"
"71"	"assay0066"	"NOTCH2"
"72"	"assay0066"	"NBPF26"
"73"	"assay0066"	"AC242842.3"
"74"	"assay0067"	"PLEKHO1"
"75"	"assay0069"	"ENSA"
"76"	"assay0068"	"ENSA"
"77"	"assay0070"	"FLG-AS1"
"78"	"assay0072"	"AL358472.5"
"79"	"assay0073"	"C1orf43"
"80"	"assay0074"	"AL139130.1"
"81"	"assay0075"	"NES"
"82"	"assay0076"	"PEA15"
"83"	"assay0076"	"AL121987.2"
"84"	"assay0078"	"MGST3"
"85"	"assay0079"	"TMCO1-AS1"
"86"	"assay0079"	"TMCO1"
"87"	"assay0080"	"AL031733.2"
"88"	"assay0081"	"AL645568.1"
"89"	"assay0082"	"GAS5"
"90"	"assay0083"	"GAS5"
"91"	"assay0084"	"RASAL2-AS1"
"92"	"assay0085"	"RASAL2"
"93"	"assay0086"	"TOR1AIP2"
"94"	"assay0087"	"QSOX1"
"95"	"assay0088"	"KIAA1614-AS1"
"96"	"assay0088"	"AL162431.1"
"97"	"assay0089"	"AL355999.1"
"98"	"assay0089"	"DHX9"
"99"	"assay0090"	"AL391645.1"
"100"	"assay0091"	"AL353709.1"
"101"	"assay0092"	"AL358473.1"
"102"	"assay0093"	"SYT2"
"103"	"assay0094"	"CYB5R1"
"104"	"assay0095"	"LINC01136"
"105"	"assay0096"	"LEMD1-DT"
"106"	"assay0097"	"NUCKS1"
"107"	"assay0098"	"MIR205HG"
"108"	"assay0099"	"TRAF5"
"109"	"assay0100"	"AL356310.1"
"110"	"assay0100"	"LINC01693"
"111"	"assay0101"	"FLVCR1-DT"
"112"	"assay0102"	"LYPLAL1-DT"
"113"	"assay0103"	"LINC01352"
"114"	"assay0103"	"AL445423.3"
"115"	"assay0104"	"SNAP47-AS1"
"116"	"assay0104"	"SNAP47"
"117"	"assay0106"	"EGLN1"
"118"	"assay0106"	"AL445524.2"
"119"	"assay0107"	"AL136171.2"
"120"	"assay0107"	"TSNAX-DISC1"
"121"	"assay0107"	"DISC1"
"122"	"assay0108"	"AL160408.5"
"123"	"assay0108"	"AL160408.1"
"124"	"assay0109"	"LINC01132"
"125"	"assay0110"	"LINC01139"
"126"	"assay0111"	"RGS7"
"127"	"assay0112"	"KIF26B-AS1"
"128"	"assay0112"	"KIF26B"
"129"	"assay0113"	"CNST"
"130"	"assay0114"	"RNASEH1-AS1"
"131"	"assay0115"	"AC108488.3"
"132"	"assay0116"	"RNF144A-AS1"
"133"	"assay0117"	"ODC1-DT"
"134"	"assay0119"	"MYCNOS"
"135"	"assay0119"	"MYCNUT"
"136"	"assay0120"	"LINC00954"
"137"	"assay0121"	"RHOB"
"138"	"assay0122"	"MFSD2B"
"139"	"assay0122"	"FKBP1B"
"140"	"assay0123"	"TRIM54"
"141"	"assay0124"	"GTF3C2"
"142"	"assay0124"	"AC074117.1"
"143"	"assay0125"	"BABAM2"
"144"	"assay0126"	"BABAM2"
"145"	"assay0127"	"AC104695.2"
"146"	"assay0128"	"LCLAT1"
"147"	"assay0129"	"MTA3"
"148"	"assay0130"	"LINC01819"
"149"	"assay0132"	"AC016722.2"
"150"	"assay0132"	"MCFD2"
"151"	"assay0134"	"GPR75"
"152"	"assay0134"	"ASB3"
"153"	"assay0135"	"ACYP2"
"154"	"assay0136"	"EML6"
"155"	"assay0137"	"AC007743.1"
"156"	"assay0137"	"AC011306.1"
"157"	"assay0137"	"AC007744.1"
"158"	"assay0138"	"VRK2"
"159"	"assay0140"	"AC016747.1"
"160"	"assay0140"	"AC016747.4"
"161"	"assay0141"	"COMMD1"
"162"	"assay0142"	"AC012368.1"
"163"	"assay0143"	"LINC02579"
"164"	"assay0144"	"AC007389.1"
"165"	"assay0145"	"ANXA4"
"166"	"assay0146"	"PCBP1-AS1"
"167"	"assay0147"	"SFXN5"
"168"	"assay0150"	"BOLA3-AS1"
"169"	"assay0151"	"DCTN1-AS1"
"170"	"assay0151"	"DCTN1"
"171"	"assay0152"	"SEMA4F"
"172"	"assay0153"	"AC007099.1"
"173"	"assay0153"	"EVA1A"
"174"	"assay0154"	"LINC01964"
"175"	"assay0155"	"TCF7L1"
"176"	"assay0156"	"ST3GAL5-AS1"
"177"	"assay0156"	"ST3GAL5"
"178"	"assay0159"	"EIF2AK3-DT"
"179"	"assay0160"	"ANKRD36BP2"
"180"	"assay0161"	"FAM178B"
"181"	"assay0162"	"TMEM131"
"182"	"assay0163"	"RPL31"
"183"	"assay0163"	"TBC1D8"
"184"	"assay0164"	"TBC1D8-AS1"
"185"	"assay0164"	"TBC1D8"
"186"	"assay0165"	"LINC01127"
"187"	"assay0166"	"LINC01102"
"188"	"assay0167"	"LINC01159"
"189"	"assay0167"	"AC018730.1"
"190"	"assay0168"	"LINC01159"
"191"	"assay0168"	"AC018730.1"
"192"	"assay0170"	"NCK2"
"193"	"assay0170"	"AC009505.1"
"194"	"assay0171"	"MTLN"
"195"	"assay0172"	"PAX8-AS1"
"196"	"assay0172"	"PAX8"
"197"	"assay0174"	"TMEM185B"
"198"	"assay0175"	"NIFK-AS1"
"199"	"assay0176"	"MAP3K2-DT"
"200"	"assay0177"	"MYO7B"
"201"	"assay0179"	"AC133785.1"
"202"	"assay0180"	"NCKAP5-AS2"
"203"	"assay0180"	"NCKAP5"
"204"	"assay0181"	"AC114763.1"
"205"	"assay0182"	"ZEB2-AS1"
"206"	"assay0182"	"ZEB2"
"207"	"assay0184"	"NR4A2"
"208"	"assay0185"	"MYO3B"
"209"	"assay0185"	"AC007277.1"
"210"	"assay0187"	"RAPGEF4-AS1"
"211"	"assay0188"	"LINC01305"
"212"	"assay0189"	"CHRNA1"
"213"	"assay0189"	"AC010894.3"
"214"	"assay0190"	"HAGLR"
"215"	"assay0191"	"CHROMR"
"216"	"assay0192"	"TTN-AS1"
"217"	"assay0192"	"TTN"
"218"	"assay0193"	"PMS1"
"219"	"assay0194"	"GLS"
"220"	"assay0195"	"PCGEM1"
"221"	"assay0196"	"AC114760.2"
"222"	"assay0196"	"STK17B"
"223"	"assay0197"	"AC011997.1"
"224"	"assay0197"	"MARS2"
"225"	"assay0198"	"SATB2-AS1"
"226"	"assay0198"	"SATB2"
"227"	"assay0199"	"SPAG16-DT"
"228"	"assay0200"	"AC097468.1"
"229"	"assay0200"	"CFAP65"
"230"	"assay0201"	"DNPEP"
"231"	"assay0201"	"AC053503.2"
"232"	"assay0202"	"CT75"
"233"	"assay0203"	"ACSL3"
"234"	"assay0204"	"SPATA3-AS1"
"235"	"assay0205"	"B3GNT7"
"236"	"assay0206"	"AC017104.5"
"237"	"assay0207"	"LINC00471"
"238"	"assay0208"	"AC012063.1"
"239"	"assay0209"	"LINC01266"
"240"	"assay0210"	"EGOT"
"241"	"assay0210"	"ITPR1"
"242"	"assay0211"	"AC069277.1"
"243"	"assay0211"	"GRM7-AS3"
"244"	"assay0212"	"AC077690.1"
"245"	"assay0212"	"GRM7"
"246"	"assay0213"	"VGLL4"
"247"	"assay0214"	"TSEN2"
"248"	"assay0215"	"LINC01267"
"249"	"assay0216"	"RBSN"
"250"	"assay0217"	"SH3BP5-AS1"
"251"	"assay0217"	"SH3BP5"
"252"	"assay0218"	"AC132807.2"
"253"	"assay0218"	"TBC1D5"
"254"	"assay0219"	"GOLGA4"
"255"	"assay0220"	"ITGA9"
"256"	"assay0220"	"ITGA9-AS1"
