""	"probe_id"	"symbol"
"1"	61840	"DDX11L1"
"2"	3377	"DDX11L1"
"3"	36438	"DDX11L1"
"4"	55098	"DDX11L1"
"5"	55586	"DDX11L1"
"6"	1627	"DDX11L1"
"7"	1627	"WASH7P"
"8"	54804	"DDX11L1"
"9"	54804	"WASH7P"
"10"	27120	"WASH7P"
"11"	7249	"WASH7P"
"12"	42406	"WASH7P"
"13"	48038	"WASH7P"
"14"	13527	"WASH7P"
"15"	23092	"WASH7P"
"16"	22502	"WASH7P"
"17"	45854	"WASH7P"
"18"	54966	"WASH7P"
"19"	53410	"WASH7P"
"20"	23279	"WASH7P"
"21"	58971	"WASH7P"
"22"	15144	"WASH7P"
"23"	36967	"WASH7P"
"24"	23858	"WASH7P"
"25"	21831	"WASH7P"
"26"	41586	"WASH7P"
"27"	45001	"WASH7P"
"28"	6048	"WASH7P"
"29"	23736	"WASH7P"
"30"	18633	"WASH7P"
"31"	56181	"MIR1302-2HG"
"32"	59666	"MIR1302-2HG"
"33"	45319	"MIR1302-2HG"
"34"	32548	"MIR1302-2HG"
"35"	22721	"MIR1302-2HG"
"36"	9828	"MIR1302-2HG"
"37"	2935	"FAM138A"
"38"	3776	"FAM138A"
"39"	25177	"FAM138A"
"40"	5534	"OR4F5"
"41"	15127	"OR4F5"
"42"	51748	"AL627309.3"
"43"	51748	"AL627309.1"
"44"	31407	"AL627309.3"
"45"	31407	"AL627309.1"
"46"	31924	"AL627309.3"
"47"	31924	"AL627309.1"
"48"	34826	"AL627309.1"
"49"	4338	"AL627309.1"
"50"	23893	"AL627309.1"
"51"	45331	"AL627309.1"
"52"	29508	"AL627309.1"
"53"	29508	"CICP27"
"54"	26423	"AL627309.1"
"55"	26423	"CICP27"
"56"	12131	"CICP27"
"57"	24819	"CICP27"
"58"	31538	"AL627309.5"
"59"	7620	"AL627309.5"
"60"	38694	"AL627309.5"
"61"	3763	"AL627309.5"
"62"	58441	"AL627309.5"
"63"	29753	"AL627309.5"
"64"	3377	"FO538757.1"
"65"	36438	"FO538757.1"
"66"	55098	"FO538757.1"
"67"	21864	"WASH9P"
"68"	33561	"WASH9P"
"69"	13527	"WASH9P"
"70"	23092	"WASH9P"
"71"	45854	"WASH9P"
"72"	54966	"WASH9P"
"73"	53410	"WASH9P"
"74"	23279	"WASH9P"
"75"	58971	"WASH9P"
"76"	15144	"WASH9P"
"77"	41586	"WASH9P"
"78"	6213	"WASH9P"
"79"	45001	"WASH9P"
"80"	6048	"WASH9P"
"81"	23736	"WASH9P"
"82"	24124	"AP006222.1"
"83"	25694	"AP006222.1"
"84"	41286	"AP006222.1"
"85"	34826	"AP006222.1"
"86"	4338	"AP006222.1"
"87"	14187	"AP006222.1"
"88"	24124	"RPL23AP24"
"89"	24124	"AP006222.1"
"90"	41286	"AP006222.1"
"91"	45358	"AP006222.1"
"92"	26763	"AP006222.1"
"93"	50512	"AL732372.1"
"94"	50512	"AP006222.1"
"95"	32647	"AL732372.1"
"96"	32647	"AP006222.1"
"97"	62023	"AL732372.1"
"98"	62023	"AL732372.2"
"99"	47980	"AL732372.1"
"100"	47980	"AL732372.2"
"101"	77	"AL732372.1"
"102"	77	"AL732372.2"
"103"	13716	"AL732372.1"
