""	"probe_id"	"symbol"
"255480"	"A_23_P10205"	"HAS2"
"255481"	"A_23_P111995"	"LOXL2"
"255482"	"A_23_P11507"	"ZZZ3"
"255483"	"A_23_P11685"	"PLA2G4A"
"255484"	"A_23_P122052"	"GPX8"
"255485"	"A_23_P122216"	"LOX"
"255486"	"A_23_P122674"	"PAK1IP1"
"255487"	"A_23_P123315"	"OTUD6B-AS1"
"255488"	"A_23_P123343"	"NUDCD1"
"255489"	"A_23_P128613"	"KDELC1"
"255490"	"A_23_P1331"	"COL13A1"
"255491"	"A_23_P133217"	"NLN"
"255492"	"A_23_P133284"	"RIOK2"
"255493"	"A_23_P133954"	"KIFC1"
"255494"	"A_23_P136817"	"KNTC1"
"255495"	"A_23_P136870"	"MAGEA6"
"255496"	"A_23_P136909"	"HMGN5"
"255497"	"A_23_P137179"	"TMSB15A"
"255498"	"A_23_P139509"	"ERGIC2"
"255499"	"A_23_P142849"	"RND3"
"255500"	"A_23_P143207"	"UBE2C"
"255501"	"A_23_P144835"	"ESM1"
"255502"	"A_23_P148798"	"UCHL5"
"255503"	"A_23_P154235"	"NMI"
"255504"	"A_23_P159335"	"CD8B"
"255505"	"A_23_P166716"	"TRMT10C"
"255506"	"A_23_P17269"	"CCDC88A"
"255507"	"A_23_P17602"	"HSPA13"
"255508"	"A_23_P18772"	"SREK1"
"255509"	"A_23_P202496"	"NOC3L"
"255510"	"A_23_P204641"	"NANOG"
"255511"	"A_23_P206441"	"FANCA"
"255512"	"A_23_P207400"	"BRCA1"
"255513"	"A_23_P207999"	"PMAIP1"
"255514"	"A_23_P209962"	"SMC6"
"255515"	"A_23_P213255"	"SMARCAD1"
"255516"	"A_23_P213661"	"PPIP5K2"
"255517"	"A_23_P216068"	"ATAD2"
"255518"	"A_23_P218608"	"EIF5B"
"255519"	"A_23_P23303"	"EXO1"
"255520"	"A_23_P23765"	"ITGB3BP"
"255521"	"A_23_P25019"	"PRIM1"
"255522"	"A_23_P250196"	"MTDH"
"255523"	"A_23_P250404"	"RAD50"
"255524"	"A_23_P250800"	"ST3GAL6"
"255525"	"A_23_P250813"	"WRN"
"255526"	"A_23_P252740"	"DSCC1"
"255527"	"A_23_P252748"	"ZNF195"
"255528"	"A_23_P253524"	"CENPE"
"255529"	"A_23_P254612"	"DBF4"
"255530"	"A_23_P254974"	"TATDN1"
"255531"	"A_23_P255592"	"ZNF268"
"255532"	"A_23_P258668"	"ERVH-3"
"255533"	"A_23_P25873"	"WDHD1"
"255534"	"A_23_P2683"	"RPAP3"
"255535"	"A_23_P282"	"ODR4"
"255536"	"A_23_P3215"	"DTWD1"
"255537"	"A_23_P37127"	"FOXA1"
"255538"	"A_23_P39682"	"ZAP70"
"255539"	"A_23_P40821"	"HPS3"
