""	"probe_id"	"symbol"
"586103"	"ILMN_1343291"	"EEF1A1"
"586104"	"ILMN_1343295"	"GAPDH"
"586105"	"ILMN_1651209"	"SLC35E2A"
"586106"	"ILMN_1651221"	"EFCAB1"
"586107"	"ILMN_1651228"	"RPS28"
"586108"	"ILMN_1651229"	"IPO13"
"586109"	"ILMN_1651230"	"PRSS41"
"586110"	"ILMN_1651232"	"FAM86FP"
"586111"	"ILMN_1651235"	"AFAP1"
"586112"	"ILMN_1651237"	"CDT1"
"586113"	"ILMN_1651238"	"TRPV1"
"586114"	"ILMN_1651249"	"PDE4DIP"
"586115"	"ILMN_1651253"	"WIPF3"
"586116"	"ILMN_1651254"	"LPP"
"586117"	"ILMN_1651259"	"UGP2"
"586118"	"ILMN_1651260"	"CCNE2"
"586119"	"ILMN_1651262"	"HNRNPAB"
"586120"	"ILMN_1651268"	"BORCS5"
"586121"	"ILMN_1651278"	"SNIP1"
"586122"	"ILMN_1651281"	"C8orf89"
"586123"	"ILMN_1651282"	"COL17A1"
"586124"	"ILMN_1651285"	"BCL6B"
"586125"	"ILMN_1651286"	"GRHL1"
"586126"	"ILMN_1651303"	"ATP13A4"
"586127"	"ILMN_1651310"	"AFDN"
"586128"	"ILMN_1651315"	"HMG20B"
"586129"	"ILMN_1651316"	"CD69"
"586130"	"ILMN_1651330"	"KCNG4"
"586131"	"ILMN_1651336"	"MLYCD"
"586132"	"ILMN_1651339"	"UHRF1BP1L"
"586133"	"ILMN_1651341"	"NOC2LP2"
"586134"	"ILMN_1651343"	"ITGA11"
"586135"	"ILMN_1651347"	"SERTAD2"
"586136"	"ILMN_1651354"	"SPP1"
"586137"	"ILMN_1651358"	"HBE1"
"586138"	"ILMN_1651365"	"ZBED2"
"586139"	"ILMN_1651369"	"TMA7"
"586140"	"ILMN_1651370"	"USP21"
"586141"	"ILMN_1651373"	"RHD"
"586142"	"ILMN_1651378"	"AUP1"
"586143"	"ILMN_1651385"	"MFN2"
"586144"	"ILMN_1651395"	"TIGD1"
