""	"probe_id"	"symbol"
"1"	20908	"DDX11L1"
"2"	20146	"DDX11L1"
"3"	24946	"DDX11L1"
"4"	43397	"DDX11L1"
"5"	38157	"DDX11L1"
"6"	49202	"DDX11L1"
"7"	49202	"WASH7P"
"8"	6669	"DDX11L1"
"9"	6669	"WASH7P"
"10"	2614	"WASH7P"
"11"	11194	"WASH7P"
"12"	26556	"WASH7P"
"13"	13483	"MIR1302-2HG"
"14"	13483	"WASH7P"
"15"	55197	"MIR1302-2HG"
"16"	19624	"MIR1302-2HG"
"17"	37768	"FAM138A"
"18"	11916	"FAM138A"
"19"	50099	"OR4G11P"
"20"	33060	"OR4F5"
"21"	56922	"OR4F5"
"22"	48044	"AL627309.3"
"23"	48044	"AL627309.1"
"24"	11094	"AL627309.3"
"25"	11094	"AL627309.1"
"26"	17536	"AL627309.3"
"27"	17536	"AL627309.1"
"28"	24228	"AL627309.3"
"29"	24228	"AL627309.1"
"30"	31291	"AL627309.1"
"31"	8650	"AL627309.1"
"32"	8421	"AL627309.1"
"33"	8421	"CICP27"
"34"	1952	"AL627309.1"
"35"	1952	"CICP27"
"36"	26451	"AL627309.1"
"37"	26451	"CICP27"
"38"	3133	"AL627309.6"
"39"	62325	"AL627309.6"
"40"	19426	"AL627309.2"
"41"	9940	"AL627309.5"
"42"	29121	"AL627309.5"
"43"	12031	"FO538757.1"
"44"	20146	"FO538757.1"
"45"	27645	"FO538757.1"
"46"	43397	"FO538757.1"
"47"	38157	"FO538757.1"
"48"	6189	"WASH9P"
"49"	2614	"WASH9P"
"50"	11194	"WASH9P"
"51"	37841	"WASH9P"
"52"	37714	"AP006222.1"
"53"	18337	"AP006222.1"
"54"	54148	"AP006222.1"
"55"	17536	"AP006222.2"
"56"	17536	"AP006222.1"
"57"	31291	"AP006222.1"
"58"	35597	"AP006222.1"
"59"	28585	"AP006222.1"
"60"	6062	"RPL23AP24"
"61"	6062	"AP006222.1"
"62"	34491	"AP006222.1"
"63"	11017	"AP006222.1"
"64"	582	"AL732372.1"
"65"	582	"AP006222.1"
"66"	35327	"AL732372.1"
"67"	35327	"AP006222.1"
"68"	49673	"AL732372.1"
"69"	49673	"AP006222.1"
"70"	4505	"AL732372.1"
"71"	4505	"AL732372.2"
