""	"probe_id"	"symbol"
"1"	"ASHG19LNC1A101663950V5"	"MIR1302-2HG"
"2"	"ASHGV40051437V5"	"FAM138A"
"3"	"ASHGV40003549V5"	"FAM138A"
"4"	"ASHG19LNC1ABL100000113V5"	"FAM138A"
"5"	"ASHG19AP1B102442010V5"	"OR4F5"
"6"	"ASHG19AP1B106920961V5"	"OR4F5"
"7"	"ASHG19LNC1A100007268V5"	"AL627309.1"
"8"	"ASHGV40028352V5"	"AL627309.3"
"9"	"ASHGV40028352V5"	"AL627309.1"
"10"	"ASHGV40028353V5"	"AL627309.3"
"11"	"ASHGV40028353V5"	"AL627309.1"
"12"	"ASHG19LNC1A100027303V5"	"AL627309.1"
"13"	"ASHG19LNC1A100024568V5"	"AL627309.1"
"14"	"ASHG19LNC1A100897486V5"	"AL627309.5"
"15"	"ASHG19LNC1A102873946V5"	"AL627309.5"
"16"	"ASHG19LNC1A109628273V5"	"AL627309.5"
"17"	"ASHG19LNC1A114151063V5"	"AP006222.1"
"18"	"ASHG19LNC1A100035453V5"	"AP006222.1"
"19"	"ASHGV40028353V5"	"AP006222.2"
"20"	"ASHGV40028353V5"	"AP006222.1"
"21"	"ASHG19LNC1A110741359V5"	"AP006222.2"
"22"	"ASHG19LNC1A110741359V5"	"AP006222.1"
"23"	"ASHG19LNC1A100027303V5"	"AP006222.2"
"24"	"ASHG19LNC1A100027303V5"	"AP006222.1"
"25"	"ASHG19LNC1A114151063V5"	"RPL23AP24"
"26"	"ASHG19LNC1A114151063V5"	"AP006222.1"
"27"	"ASHGV40028353V5"	"AP006222.1"
"28"	"ASHG19LNC1A100027303V5"	"AP006222.1"
"29"	"ASHG19LNC1A105251348V5"	"AL732372.1"
"30"	"ASHG19LNC1A105251348V5"	"AL732372.2"
"31"	"ASHGV40059229V5"	"AL732372.1"
"32"	"ASHGV40059229V5"	"AL732372.2"
"33"	"ASHGV40007574V5"	"AL732372.2"
"34"	"ASHGV40042882V5"	"AL732372.2"
"35"	"ASHG19LNC1A100036830V5"	"AL732372.2"
"36"	"ASHG19LNC1A100024568V5"	"AL732372.2"
"37"	"ASHGV40056179V5"	"AL732372.2"
"38"	"ASHG19LNC1A113184039V5"	"AL732372.3"
"39"	"ASHG19LNC1A113184039V5"	"AL732372.2"
"40"	"ASHG19LNC1A100897486V5"	"AL732372.2"
"41"	"ASHG19LNC1A110193039V5"	"AL732372.2"
"42"	"ASHG19LNC1A109628273V5"	"AL732372.2"
"43"	"ASHG19LNC1A107631488V5"	"AC114498.1"
"44"	"ASHG19LNC1A107631488V5"	"AL669831.3"
"45"	"ASHGV40059229V5"	"AC114498.1"
"46"	"ASHGV40059229V5"	"AL669831.3"
"47"	"ASHGV40007574V5"	"AL669831.3"
"48"	"ASHGV40056179V5"	"AL669831.1"
"49"	"ASHGV40056179V5"	"AL669831.3"
"50"	"ASHGV40008878V5"	"AL669831.1"
"51"	"ASHGV40008878V5"	"AL669831.3"
"52"	"ASHG19LNC1A111096078V5"	"AL669831.1"
